,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Faya,18.39,42.45,294.15,94,100,2.1,SA,1598471381
85,Smithers,54.78,-127.17,288.15,67,75,1.5,CA,1598471662
86,Yellowknife,62.46,-114.35,288.15,87,75,2.6,CA,1598471223
87,Barra de Tecoanapa,16.52,-98.75,299.21,87,100,4.25,MX,1598471662
88,Jega,12.22,4.38,299.88,71,98,2.13,NG,1598471662
89,Kalāleh,37.38,55.49,294.15,64,0,3.1,IR,1598471662
90,Cartagena del Chairá,1.33,-74.84,303.85,58,86,0.23,CO,1598471626
91,Shubarkuduk,49.14,56.49,296.28,30,0,2.59,KZ,1598471662
92,Soyo,-6.13,12.37,296.26,87,0,4.31,AO,1598471662
93,Werda,-25.27,23.28,290.62,26,4,3.69,BW,1598471662
94,Foz do Iguaçu,-25.55,-54.59,304.15,32,0,4.6,BR,1598471662
95,Provideniya,64.38,-173.3,283.19,80,97,0.6,RU,1598471663
96,Antalaha,-14.9,50.28,293.64,88,8,2.44,MG,1598471663
97,San Vicente,-26.62,-54.13,297.92,47,0,2.07,AR,1598471471
98,Machinga,-15.17,35.3,295.69,41,7,1.44,MW,1598471663
99,Nantucket,41.28,-70.1,295.15,46,20,8.7,US,1598471663
100,Grand-Lahou,5.14,-5.02,296.87,90,100,3.83,CI,1598471663
101,Maragogi,-9.01,-35.22,296.65,75,0,4.3,BR,1598471445
102,Lagoa,39.05,-27.98,296.66,91,90,0.87,PT,1598471414
103,Capoterra,39.18,8.97,300.15,69,0,6.7,IT,1598471663
104,Leningradskiy,69.38,178.42,276.62,89,100,2.57,RU,1598471663
105,Makat,47.65,53.35,298.53,27,0,3.18,KZ,1598471663
106,Ragonvalia,7.58,-72.48,302.15,58,40,4.1,CO,1598471663
107,Port Moresby,-9.44,147.18,297.15,94,40,10.3,PG,1598471464
108,Hilo,19.73,-155.09,298.15,88,90,3.32,US,1598471459
109,Tuatapere,-46.13,167.68,280.37,72,99,4.92,NZ,1598471664
110,Kainantu,-6.29,145.87,287.63,96,70,0.8,PG,1598471664
111,Bengkulu,-3.8,102.27,297.04,89,5,2.57,ID,1598471664
112,Lamar,33.67,-95.58,295.15,94,90,6.7,US,1598471664
113,Hobyo,5.35,48.53,298.38,79,100,12.16,SO,1598471664
114,Barrow,71.29,-156.79,277.15,93,90,6.7,US,1598471664
115,Rome,43.21,-75.46,294.15,40,1,5.7,US,1598471525
116,Nosy Varika,-20.58,48.53,293.33,91,10,3.14,MG,1598471664
117,East London,-33.02,27.91,288.97,60,92,5.99,ZA,1598471664
118,Beidao,34.57,105.89,291.9,77,0,1.53,CN,1598471665
119,Clyde River,70.47,-68.59,286.15,54,20,3.1,CA,1598471665
120,Road Town,18.42,-64.62,304.15,66,20,3.6,VG,1598471665
121,Liverpool,53.41,-2.98,289.26,82,20,3.1,GB,1598471457
122,Taltal,-25.4,-70.48,290.87,50,0,1.96,CL,1598471368
123,Longyearbyen,78.22,15.64,278.15,87,75,5.1,SJ,1598471665
124,Souillac,-20.52,57.52,295.15,83,75,5.1,MU,1598470899
125,Solnechnyy,50.72,136.63,286.46,86,100,0.3,RU,1598471414
126,Buritis,-15.62,-46.42,302.83,14,0,2.78,BR,1598471665
127,Manavālakurichi,8.13,77.3,301.15,83,40,2.6,IN,1598471665
128,Inhambane,-23.86,35.38,296.15,83,40,4.1,MZ,1598471665
129,Monte Azul Paulista,-20.91,-48.64,301.31,18,0,2.65,BR,1598471665
130,Desna,50.93,30.76,292.59,68,27,1.0,UA,1598471665
131,Kembé,4.62,21.89,294.37,94,69,1.24,CF,1598471666
132,Simao,22.79,100.97,291.05,94,88,0.33,CN,1598471666
133,Caceres,39.52,-6.37,305.93,27,0,2.24,ES,1598471666
134,Lebrija,36.92,-6.08,305.37,37,35,0.5,ES,1598471666
135,Qaanaaq,77.48,-69.36,275.7,88,100,7.8,GL,1598471666
136,Yerköy,39.64,34.47,294.1,48,85,1.54,TR,1598471666
137,Thompson,55.74,-97.86,286.15,82,90,6.2,CA,1598471666
138,Pauini,-7.71,-66.98,311.53,20,2,0.68,BR,1598471666
139,Hermanus,-34.42,19.23,285.04,78,0,7.18,ZA,1598471666
140,Luleå,65.58,22.15,282.15,93,41,2.1,SE,1598471667
141,Lima,-12.04,-77.03,291.15,77,90,3.6,PE,1598471161
142,Tilichiki,60.47,166.1,279.34,73,100,2.6,RU,1598471667
143,Cabo San Lucas,22.89,-109.91,309.15,52,40,1.5,MX,1598471667
144,Lamu,-2.27,40.9,297.75,86,13,5.58,KE,1598471667
145,Kruisfontein,-34.0,24.73,283.71,85,46,0.89,ZA,1598471667
146,Lavrentiya,65.58,-171.0,281.95,81,97,1.25,RU,1598471667
147,Moose Factory,51.26,-80.61,285.15,71,75,5.7,CA,1598471667
148,Muros,42.78,-9.06,293.71,93,28,0.45,ES,1598471667
149,Kelvington,52.17,-103.53,293.91,45,82,3.24,CA,1598471530
150,Saint George,37.1,-113.58,312.04,23,1,2.6,US,1598471577
151,Nizhniy Tsasuchey,50.52,115.13,286.28,77,100,3.13,RU,1598471667
152,Kitahiroshima,42.98,141.57,296.48,7,0,0.89,JP,1598471667
153,Gorontalo,0.54,123.06,298.16,83,16,3.49,ID,1598471668
154,Sitka,57.05,-135.33,285.15,87,75,5.7,US,1598471668
155,Flagstaff,35.2,-111.65,304.26,21,40,0.62,US,1598471431
156,Dzhuryn,49.03,25.58,293.71,61,0,2.24,UA,1598471668
157,Te Anau,-45.42,167.72,275.97,89,83,0.56,NZ,1598471668
158,El Campo,29.2,-96.27,307.59,55,40,3.6,US,1598471459
159,Sterling,39.01,-77.43,303.71,48,40,3.6,US,1598471668
